ESTU_CONSECUTIVO,PUNT_GLOBAL_PREDIC
EK202310236834,139.95
EK202310206502,125.0
EK202310232490,143.15
EK202310115920,132.05
EK202310155557,133.05
EK202310118792,163.3
EK202310213449,140.95
EK202310157956,146.35
EK202310202461,148.2
EK202310210080,174.1
EK202310123713,125.75
EK202310138636,141.45
EK202310197194,135.35
EK202310136131,176.0
EK202310194280,132.05
EK202310144073,167.5
EK202310196767,158.65
EK202310152659,125.85
EK202310119318,139.5
EK202310175079,147.1
EK202310246973,137.85
EK202310177069,138.4
EK202310228915,146.25
EK202310237967,143.6
EK202310004766,150.1
EK202310197580,193.5
EK202310163370,142.2
EK202310126258,129.95
EK202320006245,138.9
EK202310214455,134.2
EK202310225077,168.6
EK202310121345,122.95
EK202310118753,117.15
EK202310209148,140.65
EK202310235651,127.95
EK202310195584,161.15
EK202310131541,142.05
EK202310167958,138.95
EK202310232848,128.8
EK202310112373,142.3
EK202310247588,165.65
EK202310124781,134.2
EK202310187345,173.65
EK202310117200,148.25
EK202310103838,130.85
EK202310123310,149.7
EK202310193567,148.75
EK202310176987,151.8
EK202310217483,128.55
EK202310219653,139.95
EK202310189258,146.95
EK202310213235,144.45
EK202310148485,141.65
EK202310243846,140.25
EK202310157685,142.9
EK202310228217,171.45
EK202310167414,156.35
EK202310116553,139.3
EK202310154306,146.35
EK202310218246,150.45
EK202310214924,146.3
EK202310124301,120.05
EK202310132969,121.45
EK202310116665,140.75
EK202310126109,152.4
EK202310246626,143.1
EK202310165655,125.6
EK202310222900,139.7
EK202310183920,156.3
EK202310188655,127.5
EK202310140837,134.15
EK202310110105,119.35
EK202310166926,171.95
EK202310222571,140.5
EK202310130862,148.5
EK202310159918,142.9
EK202310191732,154.9
EK202310154430,150.0
EK202310209379,131.75
EK202310242826,154.85
EK202310127621,139.65
EK202310144269,141.05
EK202310168554,169.45
EK202310225096,134.4
EK202310004191,130.8
EK202310198832,142.65
EK202310166122,162.95
EK202310197812,190.85
EK202310173577,135.45
EK202310107780,134.4
EK202310200080,152.75
EK202310244832,160.6
EK202310153701,159.4
EK202310248897,160.0
EK202310238758,145.65
EK202310180956,165.6
EK202310133597,173.65
EK202310165926,143.6
EK202310113563,160.3
EK202310219177,153.9
EK202310215546,164.65
EK202310239803,125.85
EK202310170081,116.6
EK202310206625,127.0
EK202310104069,137.7
EK202310186393,164.95
EK202310173267,137.8
EK202310110426,139.1
EK202310164765,138.75
EK202310158220,134.05
EK202310168816,152.9
EK202310204071,147.2
EK202310157259,138.55
EK202310156843,135.5
EK202310223529,139.3
EK202310149961,143.25
EK202310108241,135.45
EK202310168245,150.65
EK202310191021,148.35
EK202310165776,143.2
EK202310172874,126.85
EK202310163779,135.85
EK202310188731,142.3
EK202310105850,139.8
EK202310129025,161.85
EK202310122251,122.9
EK202310233739,131.75
EK202310145467,134.15
EK202310125541,131.75
EK202310128736,123.75
EK202310157339,158.5
EK202310204674,178.75
EK202310199931,132.45
EK202310159776,148.8
EK202310233618,157.95
EK202310209554,155.6
EK202310147590,135.6
EK202310233558,125.75
EK202310141475,142.35
EK202310192184,145.45
EK202310121465,128.25
EK202310144674,163.7
EK202310225145,155.5
EK202310211862,134.4
EK202310218476,125.85
EK202310227106,179.25
EK202310184475,133.4
EK202310132027,137.6
EK202310134826,135.55
EK202310182784,155.2
EK202310236142,136.6
EK202310215997,166.35
EK202310218885,156.05
EK202310189497,147.3
EK202310242392,140.35
EK202310139831,130.25
EK202310159899,120.8
EK202320007536,141.75
EK202310205864,138.25
EK202310205412,150.35
EK202310178623,140.1
EK202310144137,133.35
EK202310156851,158.05
EK202310200692,138.9
EK202310221442,148.6
EK202310225402,153.3
EK202310128314,159.75
EK202310135585,142.0
EK202310230304,168.85
EK202310106564,156.3
EK202310195276,122.45
EK202310168561,144.45
EK202310238035,147.2
EK202310210412,133.75
EK202310193015,132.7
EK202310160429,174.25
EK202310203227,140.1
EK202310144260,128.55
EK202310231994,135.1
EK202310169556,147.65
EK202310112231,145.5
EK202310179305,136.8
EK202310111693,121.95
EK202310163778,136.75
EK202310197562,154.9
EK202310147780,142.85
EK202310165497,178.2
EK202310191527,135.7
EK202310106149,140.05
EK202310179787,127.3
EK202310247018,155.1
EK202310177578,152.95
EK202310138872,178.3
EK202310204378,142.05
EK202310146296,132.5
EK202310110160,147.55
EK202310179095,158.8
EK202310220481,127.0
EK202310227227,144.65
EK202310234336,164.15
EK202310145809,126.95
EK202310209306,161.4
EK202310225649,125.85
EK202310226704,146.0
EK202310157072,153.6
EK202310121530,139.05
EK202310165600,129.45
EK202310197233,138.85
EK202310184332,127.0
EK202310143743,141.95
EK202310154640,155.45
EK202310158286,134.6
EK202310123880,148.5
EK202310182423,163.55
EK202310124053,127.3
EK202310206144,124.8
EK202310140890,143.0
EK202310127015,135.0
EK202310134941,149.05
EK202310119304,130.3
EK202310212796,142.4
EK202310108377,126.5
EK202310174180,137.25
EK202310239157,146.2
EK202310216632,134.6
EK202310172285,139.3
EK202310150279,162.0
EK202310186491,128.8
EK202310197932,156.15
EK202310120172,143.75
EK202310216664,157.5
EK202320006884,161.2
EK202310178918,143.7
EK202310144935,142.8
EK202310141510,142.5
EK202310216762,132.35
EK202310106406,130.9
EK202310111996,120.1
EK202310208681,152.8
EK202310226247,129.85
EK202310113253,159.05
EK202310122999,159.8
EK202310155079,138.55
EK202310160222,134.65
EK202310210742,143.7
EK202310156801,155.3
EK202310159360,137.65
EK202310180024,123.9
EK202310213928,144.3
EK202310152334,146.05
EK202310245937,136.5
EK202310164808,151.85
EK202310146870,125.6
EK202310163950,137.25
EK202310195716,139.65
EK202310150305,147.7
EK202310229713,130.95
EK202310188916,159.9
EK202310121395,144.3
EK202310160376,139.85
EK202310244651,142.85
EK202310150169,124.55
EK202310110958,136.2
EK202310143966,134.85
EK202310221741,160.5
EK202310187012,143.15
EK202310193822,187.6
EK202310172094,146.25
EK202310178633,138.85
EK202310117674,154.1
EK202310133805,139.95
EK202310180948,154.2
EK202310203849,145.1
EK202310149491,168.15
EK202310216830,155.2
EK202310229432,138.1
EK202310109652,138.0
EK202310181925,173.6
EK202310196245,142.9
EK202310248098,153.5
EK202310183221,163.85
EK202310196195,161.4
EK202310197137,139.9
EK202310110247,142.0
EK202310144126,140.8
EK202310156911,170.0
EK202310224215,138.05
EK202310236337,124.4
EK202310188431,150.25
EK202310137114,154.95
EK202310115030,140.1
EK202310117460,129.35
EK202310162361,151.85
EK202310130281,164.2
EK202310148428,159.2
EK202310163311,140.85
EK202310145526,129.2
EK202310235374,139.2
EK202310156223,163.9
EK202310151269,142.25
EK202310150741,143.4
EK202310225372,138.75
EK202310133344,140.4
EK202310127071,135.05
EK202310152237,144.7
EK202310244229,142.75
EK202310167190,141.65
EK202310154488,142.45
EK202310211108,137.25
EK202310114416,158.25
EK202310222978,165.35
EK202310187337,167.3
EK202310195712,160.05
EK202310176238,159.45
EK202310204719,142.75
EK202310184298,137.4
EK202310215525,164.45
EK202310154861,131.3
EK202310200739,125.35
EK202310242424,134.7
EK202310247300,123.2
EK202310116475,143.55
EK202310225458,133.1
EK202310126918,129.7
EK202310185579,131.05
EK202310241455,138.5
EK202310209465,124.8
EK202310142842,146.85
EK202310185122,147.55
EK202310223530,137.25
EK202310188514,146.2
EK202310171731,135.9
EK202310130376,163.75
EK202310222189,121.9
EK202310106430,158.8
EK202310127369,146.1
EK202310236443,137.75
EK202310182405,156.6
EK202310210187,122.25
EK202310116888,145.05
EK202310173132,152.65
EK202310108743,137.75
EK202310125006,134.4
EK202310213574,131.5
EK202310165356,140.45
EK202310149418,150.4
EK202310198882,124.5
EK202310231320,143.15
EK202310205653,138.9
EK202310198599,140.3
EK202310199963,128.35
EK202310173699,124.35
EK202310245726,144.75
EK202320006040,170.55
EK202310154743,139.45
EK202310188160,149.55
EK202310214367,158.45
EK202310103702,118.9
EK202310127965,137.95
EK202310203245,158.15
EK202310139888,124.5
EK202310108972,146.15
EK202310004612,131.6
EK202310143552,145.15
EK202310120024,151.55
EK202310221518,130.7
EK202310180966,161.5
EK202310193489,133.2
EK202310117005,137.0
EK202310213271,146.5
EK202310120394,131.4
EK202310183259,149.8
EK202310125697,156.1
EK202310110553,133.1
EK202310150138,145.05
EK202310169349,129.4
EK202310224959,132.1
EK202310003872,146.45
EK202310189922,178.35
EK202310196746,164.25
EK202310189397,129.8
EK202310154076,156.55
EK202310003409,130.65
EK202310132461,147.55
EK202310114430,143.35
EK202310207939,134.8
EK202310219274,126.1
EK202310226342,149.55
EK202310127397,142.6
EK202310237125,134.65
EK202310214068,162.45
EK202310184942,144.05
EK202310113334,123.1
EK202310121808,126.8
EK202310134472,143.7
EK202310213189,131.75
EK202310200986,134.35
EK202310183319,154.75
EK202310138451,142.6
EK202310134480,139.9
EK202310248001,138.35
EK202310215511,151.2
EK202310148692,159.5
EK202310003356,126.75
EK202310186363,119.55
EK202310117649,133.9
EK202310107222,109.95
EK202310140103,128.1
EK202310162055,170.7
EK202310160543,165.05
EK202310104526,141.65
EK202310111072,152.15
EK202310144115,129.7
EK202310227753,167.35
EK202310168401,154.1
EK202310225278,132.95
EK202310121727,132.2
EK202310209068,150.85
EK202310117324,148.8
EK202310119649,156.55
EK202310154151,133.25
EK202310235668,127.6
EK202310197052,131.2
EK202310133218,156.0
EK202310228623,137.45
EK202310236771,132.45
EK202320007756,138.6
EK202310123680,128.75
EK202310153796,153.2
EK202310184256,179.7
EK202310189360,177.6
EK202310169170,154.0
EK202310238568,169.9
EK202310147463,148.65
EK202310246348,134.25
EK202310146645,135.3
EK202310112043,118.4
EK202310126693,141.75
EK202310105633,137.25
EK202310108187,137.3
EK202310142659,148.7
EK202310154109,161.65
EK202310187961,176.0
EK202310138151,132.8
EK202310145768,129.7
EK202310204437,139.0
EK202310234444,122.3
EK202310146920,127.4
EK202310191972,138.8
EK202310135664,143.15
EK202310136647,164.05
EK202310149136,140.55
EK202310004755,136.25
EK202310003806,137.05
EK202320005862,143.1
EK202310238222,135.75
EK202310165638,157.8
EK202310195278,169.4
EK202310191050,148.95
EK202310165081,170.3
EK202310141108,131.4
EK202310225501,136.25
EK202310190006,155.4
EK202310232901,164.0
EK202310183145,132.95
EK202310133834,178.4
EK202310111865,140.1
EK202310233162,136.6
EK202310144096,121.6
EK202310241460,154.6
EK202310148061,139.25
EK202310123096,135.3
EK202310168745,123.5
EK202310232533,129.95
EK202310238139,158.5
EK202310107671,135.25
EK202310003635,132.4
EK202310160939,143.9
EK202310165138,146.15
EK202310177363,156.95
EK202310140380,130.6
EK202310127640,138.5
EK202310145483,142.55
EK202310144142,127.1
EK202310182466,153.0
EK202310134774,130.75
EK202310239504,142.05
EK202310179694,136.35
EK202310105818,142.55
EK202310206801,140.35
EK202310133427,151.3
EK202310172349,140.0
EK202310144166,145.05
EK202310118960,129.35
EK202310199115,153.4
EK202310213777,166.55
EK202310232118,147.25
EK202310204757,140.25
EK202310241858,139.15
EK202310204589,166.25
EK202310224131,146.2
EK202310160384,168.15
EK202310158733,139.7
EK202310139320,120.6
EK202310186373,146.1
EK202310207408,138.8
EK202310202032,126.4
EK202310191726,127.55
EK202310237659,138.55
EK202310202929,156.6
EK202310138221,135.25
EK202310213944,143.05
EK202310217592,126.65
EK202310156873,149.55
EK202310154026,129.05
EK202310227896,136.65
EK202310165724,169.65
EK202310160534,129.25
EK202310238733,153.3
EK202310187242,166.55
EK202310160829,142.15
EK202310160276,139.5
EK202310137939,121.6
EK202310200291,139.1
EK202310238138,127.3
EK202310217144,152.75
EK202310196491,139.0
EK202320006298,137.0
EK202310228178,138.9
EK202310138802,134.5
EK202310240713,131.9
EK202310175243,140.3
EK202310207967,128.3
EK202310107352,146.8
EK202310211309,138.25
EK202310131783,157.9
EK202310166826,140.85
EK202310112512,137.25
EK202310153955,167.7
EK202310223762,133.65
EK202310220803,134.7
EK202310191806,136.45
EK202310139794,131.8
EK202310004495,133.3
EK202310165321,142.0
EK202310152644,135.85
EK202310107844,136.25
EK202310224636,141.25
EK202310182912,151.6
EK202310227725,135.15
EK202310129401,132.4
EK202310132710,147.9
EK202310167591,153.6
EK202310209362,139.55
EK202310191553,147.55
EK202310191129,142.3
EK202310229273,132.2
EK202310177141,133.35
EK202310210987,133.6
EK202310246808,119.6
EK202310186424,138.5
EK202310243671,140.2
EK202310157978,125.6
EK202310141176,142.85
EK202310166632,156.05
EK202310188518,137.85
EK202310176726,146.2
EK202310232858,178.2
EK202310203103,141.15
EK202310172581,147.7
EK202310129669,133.05
EK202310149026,149.6
EK202310151271,138.8
EK202310164311,137.95
EK202310193156,184.55
EK202310183315,138.8
EK202310129742,165.9
EK202310244163,135.8
EK202310162820,135.65
EK202310158627,148.2
EK202310195793,140.1
EK202310243898,166.0
EK202310211036,124.15
EK202310231066,125.35
EK202310188792,158.35
EK202310181166,152.55
EK202310240476,132.4
EK202310197771,195.05
EK202310141037,160.95
EK202310204780,146.5
EK202310191058,142.2
EK202310173228,156.1
EK202310197491,159.4
EK202310156720,146.5
EK202310244219,149.95
EK202310119128,149.7
EK202310241327,177.65
EK202310152238,144.75
EK202310179839,122.5
EK202310238196,131.9
EK202310153091,172.4
EK202320006753,169.15
EK202310123570,136.2
EK202310163341,138.45
EK202310162440,173.3
EK202310151053,143.7
EK202310188188,159.8
EK202310127289,160.1
EK202310248374,132.45
EK202310167393,139.9
EK202310192930,138.25
EK202310113187,164.4
EK202310174516,138.4
EK202310187588,128.0
EK202320007750,147.05
EK202310189741,174.9
EK202310174859,144.9
EK202310195086,149.8
EK202310183873,175.6
EK202310171631,143.2
EK202310123283,137.45
EK202320006306,162.5
EK202310139834,132.8
EK202310239785,140.4
EK202310153276,139.55
EK202310180328,147.6
EK202310207645,158.0
EK202310130192,169.15
EK202310154977,137.55
EK202310139793,130.8
EK202310243107,146.85
EK202310209482,137.95
EK202310241115,129.35
EK202310214880,133.1
EK202310240253,128.5
EK202310226088,152.2
EK202320006633,170.7
EK202310245104,162.3
EK202310112870,145.25
EK202310161734,156.7
EK202310225927,123.4
EK202310145336,149.15
EK202310137212,106.3
EK202310190306,138.05
EK202310172851,157.25
EK202310231101,142.9
EK202310212990,129.05
EK202310122658,124.05
EK202310176278,156.15
EK202310200882,138.8
EK202310152325,143.8
EK202310151272,159.95
EK202310194215,169.05
EK202310185678,159.65
EK202310243281,149.1
EK202310120514,132.35
EK202310126433,137.95
EK202310122944,128.25
EK202310236394,133.15
EK202310218087,145.95
EK202310151593,156.35
EK202310110201,135.3
EK202310131708,149.45
EK202310111333,130.6
EK202310183969,164.0
EK202310161113,177.85
EK202310184302,157.15
EK202310152148,132.05
EK202310236146,132.65
EK202310229823,137.95
EK202310133950,169.45
EK202310176959,155.35
EK202310003859,155.85
EK202310185070,144.55
EK202310004826,142.5
EK202310192593,135.15
EK202310212457,135.25
EK202310133750,129.7
EK202320007484,159.5
EK202310190675,154.4
EK202310129882,158.05
EK202310216142,135.0
EK202310197446,150.95
EK202310243332,144.1
EK202310139113,162.55
EK202320007314,149.25
EK202310192244,156.15
EK202310209792,131.85
EK202310218921,128.8
EK202310128700,123.4
EK202310219548,135.7
EK202310230864,125.55
EK202310141941,157.35
EK202310206423,134.05
EK202310188250,138.45
EK202310180278,140.25
EK202310123620,136.5
EK202310180928,129.95
EK202310148298,131.15
EK202310124265,129.1
EK202310125883,136.25
EK202310128123,127.7
EK202310234185,121.95
EK202310141809,156.8
EK202310125724,160.25
EK202320006085,160.4
EK202310232099,140.5
EK202310193331,138.3
EK202310205400,143.75
EK202310160975,131.85
EK202310203863,151.7
EK202310126413,127.3
EK202310118450,153.3
EK202310133563,140.05
EK202310239448,127.55
EK202310114694,133.55
EK202310158288,188.35
EK202310122422,120.3
EK202310235320,140.9
EK202310201960,124.8
EK202310194645,144.2
EK202310214962,143.95
EK202310247868,170.5
EK202310126826,134.55
EK202310120690,160.05
EK202320006557,161.45
EK202310224482,125.8
EK202310188666,124.1
EK202310167967,136.9
EK202310240200,138.6
EK202310183867,161.8
EK202310195682,121.0
EK202310108034,156.6
EK202310143324,127.2
EK202310139977,143.15
EK202310134578,159.25
EK202310003485,132.35
EK202310127332,153.1
EK202310195959,148.85
EK202310173389,130.85
EK202310120326,133.65
EK202310228101,133.4
EK202310194577,153.05
EK202310230845,139.7
EK202310144430,134.75
EK202310155784,125.1
EK202310160254,162.2
EK202310118458,132.2
EK202310134107,173.6
EK202310247672,180.15
EK202310233715,139.5
EK202310192802,181.6
EK202310226073,128.55
EK202310112128,153.65
EK202310214142,163.0
EK202310205070,165.7
EK202310191656,137.85
EK202310108700,138.75
EK202310121333,148.1
EK202310153942,129.7
EK202310228151,128.9
EK202310185062,134.0
EK202310133213,148.75
EK202310242233,140.55
EK202310143796,138.9
EK202310202444,134.65
EK202310166800,164.8
EK202310191020,141.75
EK202310122069,130.4
EK202310221793,159.2
EK202310235848,149.0
EK202310205016,143.6
EK202310119021,166.3
EK202310222995,174.65
EK202310114479,127.3
EK202310182453,154.75
EK202310143133,135.6
EK202310175194,126.4
EK202310144671,154.4
EK202310245023,140.15
EK202310144979,127.45
EK202310235216,123.9
EK202310247586,139.2
EK202310105223,150.45
EK202310163741,161.5
EK202310141732,150.6
EK202310142505,140.65
EK202310131799,156.6
EK202310209090,150.65
EK202310159139,151.5
EK202310214093,150.3
EK202310199515,134.2
EK202310228095,138.9
EK202310173578,144.15
EK202310170010,151.45
EK202310164861,142.25
EK202310167580,148.0
EK202310225936,134.85
EK202310147008,140.65
EK202310187537,153.1
EK202310170479,153.4
EK202310238268,134.6
EK202310231268,139.45
EK202310167280,148.8
EK202310203266,134.65
EK202310179810,135.4
EK202310107445,157.95
EK202310107969,151.95
EK202310127481,134.35
EK202310180706,135.5
EK202310125230,132.8
EK202310127751,139.3
EK202310172588,152.35
EK202310202984,157.9
EK202310104212,129.45
EK202310106923,139.3
EK202310147971,151.95
EK202310243146,122.05
EK202310171023,137.5
EK202310109775,150.1
EK202310205700,141.1
EK202310143997,137.6
EK202310132126,127.8
EK202310127316,161.6
EK202310107147,135.75
EK202310151185,131.8
EK202310228200,129.8
EK202310117856,152.55
EK202320005717,147.3
EK202310129616,136.65
EK202310232791,137.2
EK202310243834,141.7
EK202310246208,144.95
EK202310160233,159.1
EK202310149219,137.75
EK202310108589,133.4
EK202310204725,143.7
EK202310243502,145.25
EK202310114320,125.55
